date,name_outlet,total_sales
2024-07-01,Epicentrum Helen's,31848.0
2024-07-01,Makassar Helen's,36614.0
2024-07-01,Medan Helen's,40508.0
2024-07-02,Epicentrum Helen's,39572.0
2024-07-02,Makassar Helen's,39876.0
2024-07-02,Medan Helen's,40587.0
2024-07-03,Epicentrum Helen's,69196.0
2024-07-03,Makassar Helen's,49270.0
2024-07-03,Medan Helen's,38596.0
2024-07-04,Epicentrum Helen's,56385.0
2024-07-04,Makassar Helen's,85418.0
2024-07-04,Medan Helen's,44342.0
2024-07-05,Epicentrum Helen's,100671.0
2024-07-05,Makassar Helen's,58678.0
2024-07-05,Medan Helen's,52511.0
2024-07-06,Epicentrum Helen's,54231.0
2024-07-06,Makassar Helen's,88631.0
2024-07-06,Medan Helen's,63119.0
2024-07-07,Epicentrum Helen's,17326.0
2024-07-07,Makassar Helen's,12315.0
2024-07-07,Medan Helen's,39038.0
2024-07-08,Epicentrum Helen's,49377.0
2024-07-08,Makassar Helen's,36084.0
2024-07-08,Medan Helen's,35580.0
2024-07-09,Epicentrum Helen's,44615.0
2024-07-09,Makassar Helen's,38847.0
2024-07-09,Medan Helen's,39578.0
2024-07-10,Epicentrum Helen's,52353.0
2024-07-10,Makassar Helen's,44933.0
2024-07-10,Medan Helen's,38114.0
2024-07-11,Epicentrum Helen's,67158.0
2024-07-11,Makassar Helen's,48750.0
2024-07-11,Medan Helen's,36764.0
2024-07-12,Epicentrum Helen's,106227.0
2024-07-12,Makassar Helen's,81409.0
2024-07-12,Medan Helen's,55879.0
2024-07-13,Epicentrum Helen's,71783.0
2024-07-13,Makassar Helen's,117840.0
2024-07-13,Medan Helen's,65773.0
2024-07-14,Epicentrum Helen's,27814.0
2024-07-14,Makassar Helen's,51993.0
2024-07-14,Medan Helen's,38555.0
2024-07-15,Epicentrum Helen's,35246.0
2024-07-15,Makassar Helen's,29080.0
2024-07-15,Medan Helen's,36401.0
2024-07-16,Epicentrum Helen's,43224.0
2024-07-16,Makassar Helen's,41911.0
2024-07-16,Medan Helen's,44021.0
2024-07-17,Epicentrum Helen's,57310.0
2024-07-17,Makassar Helen's,62051.0
2024-07-17,Medan Helen's,44593.0
2024-07-18,Epicentrum Helen's,64130.0
2024-07-18,Makassar Helen's,54126.0
2024-07-18,Medan Helen's,32583.0
2024-07-19,Epicentrum Helen's,99210.0
2024-07-19,Makassar Helen's,78675.0
2024-07-19,Medan Helen's,50136.0
2024-07-20,Epicentrum Helen's,114073.0
2024-07-20,Makassar Helen's,85074.0
2024-07-20,Medan Helen's,82020.0
2024-07-21,Epicentrum Helen's,26637.0
2024-07-21,Makassar Helen's,59059.0
2024-07-21,Medan Helen's,45114.0
2024-07-22,Epicentrum Helen's,44847.0
2024-07-22,Makassar Helen's,44148.0
2024-07-22,Medan Helen's,42325.0
2024-07-23,Epicentrum Helen's,43705.0
2024-07-23,Makassar Helen's,45253.0
2024-07-23,Medan Helen's,42352.0
2024-07-24,Epicentrum Helen's,38510.0
2024-07-24,Makassar Helen's,45841.0
2024-07-24,Medan Helen's,44680.0
2024-07-25,Epicentrum Helen's,45951.0
2024-07-25,Makassar Helen's,37628.0
2024-07-25,Medan Helen's,36422.0
2024-07-26,Epicentrum Helen's,114027.0
2024-07-26,Makassar Helen's,80124.0
2024-07-26,Medan Helen's,47730.0
2024-07-27,Epicentrum Helen's,97275.0
2024-07-27,Makassar Helen's,82033.0
2024-07-27,Medan Helen's,69832.0
2024-07-28,Epicentrum Helen's,26316.0
2024-07-28,Makassar Helen's,47857.0
2024-07-28,Medan Helen's,34638.0
2024-07-29,Epicentrum Helen's,29580.0
2024-07-29,Makassar Helen's,35743.0
2024-07-29,Medan Helen's,44410.0
2024-07-30,Epicentrum Helen's,34000.0
2024-07-30,Makassar Helen's,56588.0
2024-07-30,Medan Helen's,33131.0
